time    open    high    low    close
03/06/2013 09:40    16    16.39    15.95    16.35
03/06/2013 09:50    16.34    16.52    16.21    16.52
03/06/2013 10:00    16.52    16.52    16.28    16.42
03/06/2013 10:10    16.43    16.43    16.19    16.36
03/06/2013 10:20    16.37    16.38    16.23    16.28
03/06/2013 10:30    16.3    16.3    16.2    16.27
03/06/2013 10:40    16.28    16.29    16.25    16.27
03/06/2013 10:50    16.28    16.37    16.28    16.29
03/06/2013 11:00    16.29    16.3    16.22    16.23
03/06/2013 11:10    16.24    16.3    16.23    16.3
03/06/2013 11:20    16.32    16.32    16.24    16.26
03/06/2013 13:00    16.26    16.27    16.21    16.22
03/06/2013 13:10    16.22    16.22    16.16    16.16
