"X" "Y" "Length"
"1" 173 94 16.55294536
"2" 179 102 11.23610253
"3" 188 108 8.94427191
"4" 186 117 7.38241153
"5" 194 130 8.94427191
"6" 201 144 3.535533906
"7" 201 155 9.219544457
"8" 226 199 12.74754878
"9" 262 212 7.810249676
"10" 283 233 12.72792206
"11" 305 250 9.617692031
"12" 325 275 10.25914226
"13" 330 292 9.013878189
"14" 357 301 7.211102551
"15" 374 322 6.726812024
"16" 350 315 3.905124838
"17" 326 311 4
"18" 306 305 3.16227766
"19" 286 303 6.103277808
"20" 284 313 9.604686356
"21" 289 325 5.700877125
"22" 290 343 15.4029218
"23" 275 349 14.30034965
"24" 237 331 14.1509717
"25" 176 297 10.70046728
"26" 147 282 11.3137085
"27" 128 271 10.9658561
"28" 103 258 9.219544457
"29" 82 237 13.12440475
